,Unnamed: 0,campo,x,y,w,h,text
0,0,fecha,42,106,107,21,17/9/1999
1,1,hora,224,107,88,20,00:25
2,2,localizacion pais,352,105,66,13,Espana
3,3,danos_materiales objetos si,378,191,0,0, 
4,4,danos_materiales vehículos no,89,192,0,0, 
5,5,lugar,453,102,76,21,Atienza
6,6,victimas si,848,109,14,15,X
7,7,testigos,436,153,256,23,"Esther fuentes, 6973712961"
8,8,A asegurado nombre,118,285,70,16,Maria rosa
9,9,A asegurado apellidos,115,307,64,15,Crespo
10,10,A asegurado direccion,118,339,181,19,Calle de la fuente 88
11,11,A asegurado codigo_postal,143,364,82,19,31397
12,12,A asegurado pais,275,368,98,16,Suecia
13,13,A asegurado telefono,151,395,264,20,Medina.maria soledad@gmail.com
14,14,A  vehiculo marca_modelo,54,501,136,11,Skoda courier
15,15,A  vehiculo matricula,53,537,64,13,1129vtx
16,16,A  vehiculo pais,53,573,41,10,Espana
17,17,A  remolque matricula,253,534,45,14,529zyi
18,18,A  remolque pais,256,571,86,15,Lituania
19,19,A  aseguradora_nombre,118,627,46,20,Regal
20,20,A  aseguradora num_poliza,138,650,58,20,4676
21,21,A  aseguradora carta_verde,175,678,85,18,58296
22,22,A  aseguradora carta_verde_desde,282,728,56,15,12/5
23,23,A  aseguradora carta_verde_hasta,372,722,62,20,5/10
24,24,A  aseguradora agencia,233,753,213,15,Castellar del riu
25,25,A  aseguradora agencia nombre,110,772,85,17,Emilia
26,26,A  aseguradora agencia direccion,118,796,248,19,Calle navarro 81
27,27,A  aseguradora pais,275,818,65,14,Espana
28,28,A  aseguradora telefono,155,849,164,21,6892013840
29,29,A  aseguradora danos_propios_no,155,901,0,0, 
30,30,A  conductor nombre,122,944,80,16,Dolores
31,31,A  conductor apellidos,122,969,99,19,Blasco
32,32,A  conductor fecha_nac,195,992,141,22,30/8/1971
33,33,A  conductor direccion,122,1021,122,10,Calle palacios 9
34,34,A  conductor pais,276,1043,63,13,Espana
35,35,A  conductor telefono,149,1074,150,16,Otero.raquel@hotmail.es
36,36,A  conductor permiso,215,1098,159,18,55423830b
37,37,A  conductor categoria,196,1123,21,20,C
38,38,A  conductor valido_hasta,193,1152,125,18,4/4/2020
39,39,A  conductor danos_apreciados,46,1432,142,17,Bocina descolgado
40,40,B asegurado nombre,844,284,49,17,Yolanda
41,41,B asegurado apellidos,841,309,55,19,Hidalgo
42,42,B asegurado direccion,844,333,301,22,Calle calderon 95
43,43,B asegurado codigo_postal,865,365,91,19,22771
44,44,B asegurado pais,998,360,73,18,Espana
45,45,B asegurado telefono,870,392,281,26,Mesa.francisco jose@gmail.es
46,46,B vehiculo marca_modelo,774,504,107,16,Pursang phedra
47,47,B vehiculo matricula,773,538,58,9,1587bbp
48,48,B vehiculo pais,775,575,42,9,Espana
49,49,B remolque pais,974,572,52,10,Espana
50,50,B remolque matricula,974,539,44,13,665yha
51,51,B aseguradora_nombre,842,624,174,19,Fenix directo
52,52,B aseguradora n_poliza,862,649,60,17,3436
53,53,B aseguradora carta_verde,899,672,69,20,2096
54,54,B aseguradora carta_verde_desde,1004,727,51,15,9/20
55,55,B aseguradora carta_verde_hasta,1095,729,57,14,11/22
56,56,B aseguradora agencia,958,751,61,14,Freginals
57,57,B aseguradora agencia nombre,835,771,78,17,Andres
58,58,B aseguradora agencia direccion,841,795,92,17,C/ guerra 19
59,59,B aseguradora agencia pais,993,816,63,12,Espana
60,60,B aseguradora telefono,873,846,137,21,6151446894
61,61,B aseguradora danos_propios no,880,898,0,0, 
62,62,B aseguradora danos_propios si,977,899,0,0, 
63,63,B conductor nombre,840,944,76,16,Gabriel
64,64,B conductor apellidos,840,966,45,20,Lopez
65,65,B conductor fecha_nac,908,993,121,20,18/3/1981
66,66,B conductor direccion,844,1019,207,20,Calle soler 98
67,67,B conductor pais,994,1045,52,12,Espana
68,68,B conductor telefono,872,1072,207,21,Jimenez.susana@gmail.es
69,69,B conductor permiso,935,1099,122,16,67633086l
70,70,B conductor categoria,919,1125,29,16,C1
71,71,B conductor valido_hasta,911,1149,98,16,6/3/2016
72,72,B danos_apreciados,982,1429,121,17,Maletero estropeado
73,73,victimas no,751,111,0,0, 
74,74,danos_materiales objetos no,276,190,15,11,X
75,75,danos_materiales vehiculos si,191,190,0,0, 
76,76,A 1,448,335,0,0, 
77,77,A 2,446,355,0,0, 
78,78,A 3,448,398,0,0, 
79,79,A 4,448,424,16,18,X
80,80,A 5,448,476,16,13,X
