,Unnamed: 0,campo,x,y,w,h,text
0,0,fecha,42,106,137,21,11/3/2009
1,1,hora,224,109,86,18,22:03
2,2,localizacion pais,352,105,109,19,letonia
3,3,danos_materiales objetos si,378,191,0,0, 
4,4,danos_materiales vehículos no,89,191,15,11,x
5,5,lugar,453,103,141,20,riotorto
6,6,victimas si,848,114,0,0, 
7,7,testigos,436,154,353,17,"maria mar palacios, 6920013422"
8,8,A asegurado nombre,118,282,104,19,alberto
9,9,A asegurado apellidos,115,304,52,24,flores
10,10,A asegurado direccion,118,338,268,21,calle martin 76
11,11,A asegurado codigo_postal,143,365,86,18,8122
12,12,A asegurado pais,275,365,80,9,espana
13,13,A asegurado telefono,151,392,199,23,6652938808
14,14,A  vehiculo marca_modelo,54,499,148,13,niu clase clk
15,15,A  vehiculo matricula,53,536,55,14,2089lmz
16,16,A  vehiculo pais,53,570,73,11,espana
17,17,A  remolque matricula,253,533,49,15,2062vfi
18,18,A  remolque pais,256,570,77,12,espana
19,19,A  aseguradora_nombre,118,625,140,22,admiral
20,20,A  aseguradora num_poliza,138,649,83,21,2010
21,21,A  aseguradora carta_verde,175,675,82,21,80973
22,22,A  aseguradora carta_verde_desde,282,730,58,13,2/15
23,23,A  aseguradora carta_verde_hasta,372,728,59,14,2/22
24,24,A  aseguradora agencia,233,749,109,19,el toro
25,25,A  aseguradora agencia nombre,110,770,98,19,mario
26,26,A  aseguradora agencia direccion,118,796,170,19,c/ abad 77
27,27,A  aseguradora pais,275,816,89,12,espana
28,28,A  aseguradora telefono,155,849,154,21,6591486310
29,29,A  aseguradora danos_propios_no,155,901,0,0, 
30,30,A  conductor nombre,122,945,50,16,julian
31,31,A  conductor apellidos,122,968,58,20,cruz
32,32,A  conductor fecha_nac,195,991,142,23,27/5/1987
33,33,A  conductor direccion,122,1020,144,17,c/ bravo 99
34,34,A  conductor pais,276,1044,81,8,espana
35,35,A  conductor telefono,149,1070,199,20,marti.victor@gmail.es
36,36,A  conductor permiso,215,1099,82,17,72615584y
37,37,A  conductor categoria,196,1123,17,20,b
38,38,A  conductor valido_hasta,193,1151,140,19,30/6/2018
39,39,A  conductor danos_apreciados,46,1441,173,8,direccion asistida salido
40,40,B asegurado nombre,844,282,102,19,daniel
41,41,B asegurado apellidos,841,311,45,17,ortiz
42,42,B asegurado direccion,844,333,284,22,calle santana 18
43,43,B asegurado codigo_postal,865,365,97,19,37037
44,44,B asegurado pais,998,362,105,12,espana
45,45,B asegurado telefono,870,392,158,26,6190786117
46,46,B vehiculo marca_modelo,774,500,128,13,opel volvo 960
47,47,B vehiculo matricula,773,537,82,17,1464wea
48,48,B vehiculo pais,775,572,72,11,espana
49,49,B remolque pais,974,570,80,9,espana
50,50,B remolque matricula,974,536,93,16,8036crr
51,51,B aseguradora_nombre,842,627,178,16,sanna
52,52,B aseguradora n_poliza,862,649,67,17,220
53,53,B aseguradora carta_verde,899,676,88,16,85574
54,54,B aseguradora carta_verde_desde,1004,731,47,11,2/28
55,55,B aseguradora carta_verde_hasta,1095,727,56,16,10/10
56,56,B aseguradora agencia,958,749,213,10,espinosa de los caballeros
57,57,B aseguradora agencia nombre,835,771,175,17,maria isabel
58,58,B aseguradora agencia direccion,841,796,217,16,calle caballero 92
59,59,B aseguradora agencia pais,993,817,80,9,espana
60,60,B aseguradora telefono,873,845,168,22,6291910380
61,61,B aseguradora danos_propios no,880,898,14,10,x
62,62,B aseguradora danos_propios si,977,899,0,0, 
63,63,B conductor nombre,840,943,82,17,irene
64,64,B conductor apellidos,840,967,80,19,jimenez
65,65,B conductor fecha_nac,908,994,125,19,24/10/1975
66,66,B conductor direccion,844,1018,141,21,c/ guzman 45
67,67,B conductor pais,994,1045,71,10,espana
68,68,B conductor telefono,872,1073,286,20,alarcon.montserrat@yahoo.com
69,69,B conductor permiso,935,1097,128,18,49340939r
70,70,B conductor categoria,919,1122,49,19,a2
71,71,B conductor valido_hasta,911,1148,112,17,4/10/2026
72,72,B danos_apreciados,982,1439,184,7,direccion asistida averiado
73,73,victimas no,751,110,14,11,x
74,74,danos_materiales objetos no,276,189,17,11,x
75,75,danos_materiales vehiculos si,191,192,11,8,x
76,76,A 1,448,335,0,0, 
77,77,A 2,446,352,15,13,x
78,78,A 3,448,398,0,0, 
79,79,A 4,448,432,0,0, 
80,80,A 5,448,474,19,15,x
81,81,A 6,450,523,14,11,x
82,82,A 7,448,568,20,15,x
83,83,A 8,448,621,0,0, 
84,84,A 9,448,685,0,0, 
85,85,A 10,448,729,16,13,x
86,86,A 11,449,764,0,0, 
87,87,A 12,448,796,0,0, 
88,88,A 13,448,831,0,0, 
89,89,A 14,450,859,0,0, 
90,90,A 15,446,886,22,18,x
91,91,A 16,448,942,0,0, 
92,92,A 17,445,984,19,16,x
93,93,A n_casillas,448,1030,18,20,4
94,94,B n_casillas,728,1027,20,21,11
95,95,B 17,732,990,0,0, 
96,96,B 16,733,935,20,18,x
97,97,B 15,731,890,20,16,x
98,98,B 14,733,860,0,0, 
99,99,B 13,732,828,22,15,x
100,100,B 12,732,793,19,15,x
101,101,B 11,732,759,18,15,x
102,102,B 10,730,728,19,16,x
103,103,B 9,731,681,19,16,x
104,104,B 8,733,618,18,15,x
105,105,B 7,730,576,0,0, 
106,106,B 6,732,527,0,0, 
107,107,B 5,731,479,0,0, 
108,108,B 4,734,431,17,11,x
109,109,B 3,731,392,20,15,x
110,110,B 2,730,356,0,0, 
111,111,B 1,733,332,0,0, 
112,112,A  aseguradora danos_propios_si,255,899,0,0, 
113,113,texto maquina,41,45,631,27,
114,114,texto maquina,44,83,162,17,
115,115,texto maquina,224,80,40,20,
116,116,texto maquina,321,80,114,21,
117,117,texto maquina,456,82,43,16,
118,118,texto maquina,321,105,31,18,
119,119,texto maquina,686,81,186,16,
120,120,texto maquina,731,109,21,16,
121,121,texto maquina,832,108,20,16,
122,122,texto maquina,43,134,142,19,
123,123,texto maquina,437,134,240,21,
124,124,texto maquina,42,158,375,17,
125,125,texto maquina,65,186,24,18,
126,126,texto maquina,170,180,19,22,
127,127,texto maquina,255,184,22,19,
128,128,texto maquina,360,182,16,19,
129,129,texto maquina,174,222,127,26,
130,130,texto maquina,46,259,223,21,
131,131,texto maquina,49,287,71,19,
132,132,texto maquina,45,313,68,20,
133,133,texto maquina,47,341,72,20,
134,134,texto maquina,49,369,93,17,
135,135,texto maquina,240,369,35,18,
136,136,texto maquina,44,396,89,15,
137,137,texto maquina,45,427,77,16,
138,138,texto maquina,69,465,134,17,
139,139,texto maquina,300,463,74,18,
140,140,texto maquina,51,483,97,17,
141,141,texto maquina,52,519,132,19,
142,142,texto maquina,254,520,131,18,
143,143,texto maquina,51,556,109,19,
144,144,texto maquina,251,557,109,17,
145,145,texto maquina,46,601,238,21,
146,146,texto maquina,44,625,72,21,
147,147,texto maquina,43,651,96,19,
148,148,texto maquina,41,673,136,20,
149,149,texto maquina,45,700,83,19,
150,150,texto maquina,43,723,140,22,
151,151,texto maquina,237,727,48,16,
152,152,texto maquina,330,726,47,19,
153,153,texto maquina,45,750,193,18,
154,154,texto maquina,47,772,63,20,
155,155,texto maquina,47,798,71,16,
156,156,texto maquina,241,821,35,21,
157,157,texto maquina,46,848,87,19,
158,158,texto maquina,45,874,314,19,
159,159,texto maquina,136,895,21,17,
160,160,texto maquina,238,894,16,19,
161,161,texto maquina,44,923,239,17,
162,162,texto maquina,46,946,72,18,
163,163,texto maquina,44,972,69,18,
164,164,texto maquina,43,999,149,16,
165,165,texto maquina,44,1025,76,16,
166,166,texto maquina,239,1046,37,22,
167,167,texto maquina,44,1075,93,18,
168,168,texto maquina,42,1101,167,18,
169,169,texto maquina,45,1124,154,20,
170,170,texto maquina,44,1152,143,19,
171,171,texto maquina,45,1183,134,16,
172,172,texto maquina,66,1199,122,20,
173,173,texto maquina,69,1214,86,21,
174,174,texto maquina,44,1395,145,17,
175,175,texto maquina,62,1412,102,17,
176,176,texto maquina,44,1504,126,19,
177,177,texto maquina,417,1583,26,28,
178,178,texto maquina,757,1587,27,25,
179,179,texto maquina,419,1519,25,18,
180,180,texto maquina,515,1518,170,18,
181,181,texto maquina,757,1521,24,17,
182,182,texto maquina,803,1505,130,19,
183,183,texto maquina,985,1393,138,20,
184,184,texto maquina,1007,1411,96,18,
185,185,texto maquina,984,1182,140,18,
186,186,texto maquina,1003,1200,118,17,
187,187,texto maquina,1006,1217,87,17,
188,188,texto maquina,888,223,120,25,
189,189,texto maquina,769,261,222,17,
190,190,texto maquina,768,286,68,19,
191,191,texto maquina,767,314,67,18,
192,192,texto maquina,767,337,75,21,
193,193,texto maquina,765,368,97,18,
194,194,texto maquina,958,366,38,19,
195,195,texto maquina,765,392,92,20,
196,196,texto maquina,762,425,86,19,
197,197,texto maquina,787,463,140,19,
198,198,texto maquina,1021,464,75,17,
199,199,texto maquina,768,481,105,19,
200,200,texto maquina,772,515,136,25,
201,201,texto maquina,774,558,108,17,
202,202,texto maquina,971,518,137,21,
